iso639_3,glottocode,name,l1_speakers,year,source_note
vis,vish1243,Vishavan,150,1994,"wikidata P1098 (unqualified, assumed L1)"
kwa,daww1239,Dâw,142,,"wikidata P1098 (unqualified, assumed L1)"
yol,east2834,Irish Anglo-Norman,140,,"wikidata P1098 (unqualified, assumed L1)"
swx,suru1263,Suruahá,140,2006,"wikidata P1098 (unqualified, assumed L1)"
acy,cypr1248,Cypriot Arabic,140,2013,wikidata P1098 (first-language qualified)
tbp,tawo1244,Taworta,140,2000,"wikidata P1098 (unqualified, assumed L1)"
gdo,ghod1238,Godoberi,130,2010,"wikidata P1098 (unqualified, assumed L1)"
kww,kwin1243,Kwinti,130,1980,"wikidata P1098 (unqualified, assumed L1)"
irn,iran1263,Irántxe-Münkü,125,2009,"wikidata P1098 (unqualified, assumed L1)"
nio,ngan1291,Nganasan,125,2010,"wikidata P1098 (unqualified, assumed L1)"
tpy,trum1247,Trumai,120,2002,"wikidata P1098 (unqualified, assumed L1)"
ili,ilit1241,Ili Turki,120,1982,"wikidata P1098 (unqualified, assumed L1)"
izh,ingr1248,Ingrian,120,2010,"wikidata P1098 (unqualified, assumed L1)"
gnn,guma1253,Gumatj,116,2016,"wikidata P1098 (unqualified, assumed L1)"
cuo,cuma1240,Cumanagoto,112,2011,"wikidata P1098 (unqualified, assumed L1)"
bck,buna1275,Bunaba,110,2006,"wikidata P1098 (unqualified, assumed L1)"
drl,darl1243,Paakantyi,110,2021,wikidata P1098 (first-language qualified)
str,stra1244,Northern Straits Salish,105,2016,wikidata P1098 (first-language qualified)
ude,udih1248,Udihe,103,,"wikidata P1098 (unqualified, assumed L1)"
uln,unse1236,Unserdeutsch,100,2020,"wikidata P1098 (unqualified, assumed L1)"
akz,alab1237,Alabama,100,,"wikidata P1098 (unqualified, assumed L1)"
nez,nezp1238,Nez Perce,100,,"wikidata P1098 (unqualified, assumed L1)"
hux,nupo1240,Nüpode Huitoto,100,1991,"wikidata P1098 (unqualified, assumed L1)"
