model,held_out_recipient,n_pairs,auc_default,auc_learned,train_loss_start,train_loss_end,w_syl,w_son,w_cons,w_cont,w_delrel,w_lat,w_nas,w_strid,w_voi,w_sg,w_cg,w_ant,w_cor,w_distr,w_lab,w_hi,w_lo,w_back,w_round,w_velaric,w_tense,w_long,w_del_C,w_del_V,w_ins_C,w_ins_V,w_ins_V_cluster,w_ins_V_edge,w_ins_V_other
FeatureWeightCosts,CeqWong,352,0.8763276407541323,0.9786528279958677,0.21731712948751486,0.0974847074328027,0.8448529910763058,0.8758713405877308,0.808246102366541,0.408469631197665,0.10585065610341228,0.1837882805470185,0.6106163226131328,0.08873586112858478,0.43854279447652084,0.0687490064044808,0.07249327175170223,0.1213035491784076,0.15854701499910284,0.09355861800721575,0.8060095818852505,0.11655000279713007,0.44936597611342416,0.4861501974127233,0.24259126650787996,0.10650445702637414,0.05503321468340916,0.10816986313598859,3.3989526088831084,2.181803536180193,3.9327871757095463,2.518950212109124,,,
FeatureWeightCosts,Ket,107,0.9082015896584854,0.9529653244824876,0.21711121808604208,0.09612058361666502,0.8425875785469674,0.8784593599520857,0.808480031706318,0.40729377460949695,0.10896206831664801,0.18508609819972183,0.6253299897662982,0.08944454768492421,0.4323848440487157,0.06933133297895641,0.07363744396316606,0.1255343980184425,0.15266205299867525,0.09121191603331444,0.8012225450682143,0.11885803560322877,0.4514044776942882,0.47795588246426496,0.24043753948540073,0.1065681299816274,0.055296586494152186,0.10785136638509529,3.3796386903541453,2.1810980812579626,3.895965515220798,2.5158594502440668,,,
FeatureWeightCosts,Indonesian,426,0.9315308911371201,0.9816339350657938,0.21912071115868348,0.09750973188637385,0.8439063680442035,0.8770762505410259,0.8102984130140801,0.4110442759468905,0.105745000383465,0.18502574673491798,0.5911431480278633,0.08910644349034955,0.44919142654088295,0.06888978940710512,0.07367839628273146,0.1224626760299097,0.16145246838995753,0.09399049969332748,0.8026098173003466,0.11854383069841054,0.44817614449844123,0.4865444786000862,0.24139406418273932,0.10680573919782665,0.05487466037948938,0.10804036261594982,3.39069456469873,2.2100359047739704,3.940152522660565,2.5318272524535304,,,
FeatureWeightCosts,English,620,0.879631893860562,0.9538943808532778,0.2166591206538538,0.09582225547128823,0.8459160917345893,0.8780020851365913,0.8109895862483143,0.39900115544584125,0.10595222493407984,0.18042631195156786,0.6029821676862416,0.09031832299700178,0.434333187423256,0.06903862003793501,0.07352701322796545,0.1224867853274502,0.16357646345066681,0.09416704302415745,0.8024793927116153,0.11944036437772326,0.4545563370355757,0.4866905057348835,0.24544113676858584,0.10717460250528645,0.054791598062910715,0.10870900417776035,3.357071516039457,2.2178547232774033,3.883493084657646,2.5679980941293965,,,
FeatureWeightCosts,Hausa,348,0.8360334918747523,0.9338915312458713,0.21484165717005838,0.0944186354008785,0.8492125381319463,0.876246932621967,0.8143145061485706,0.40930656212652583,0.10503076464035982,0.18765950395052644,0.6035799754448348,0.08800692167024841,0.42168758827361047,0.06920433902291287,0.07352948269762483,0.1188632140426561,0.1640809619090444,0.09051740748459193,0.7855787881369263,0.1193643433993195,0.4792269221487017,0.47679198504058223,0.24820908495162936,0.10763685742675844,0.05602652517115444,0.10592479555950832,3.3397648253178827,2.1817834614170204,3.8551160899892642,2.582113056519738,,,
FeatureWeightCosts,OldHighGerman,63,0.8955656336608717,0.9773242630385488,0.21811773627981487,0.09765080420371236,0.8435273848816334,0.8756622489572651,0.8091560841745018,0.4109016915257268,0.10603860397032146,0.18316110392147436,0.6045242734083404,0.08922947115160353,0.43469010591915236,0.06873505822513346,0.07313484328681871,0.1225618590021262,0.16353587035691847,0.0945266448108494,0.7970039029422379,0.11603655622168164,0.4543728441532761,0.49033552812407194,0.24388787766440226,0.10648625053112061,0.05468732075653217,0.10780447601481202,3.387657621830661,2.206516976790362,3.889224780245741,2.52840255923206,,,
FeatureWeightCosts,Romanian,867,0.938166582190241,0.9846292815246731,0.21956986760731398,0.09764150454955722,0.844432809026706,0.875999126488739,0.8089316201651824,0.41315232768194,0.10544261082636508,0.18242199455442917,0.6095315279286998,0.08897843092794477,0.4413173692564294,0.06875746662787666,0.07319901889554042,0.12177175563332433,0.16173725171502223,0.09420135974519803,0.8091361037546871,0.11484109141222913,0.44510510991555263,0.4843685374493577,0.2377741896450432,0.10653117981958656,0.05493907336861187,0.10743004516153257,3.3713170215085206,2.1918575818868073,3.8997216883821917,2.5247907617176315,,,
FeatureWeightCosts,Wichi,207,0.9285397558869518,0.9454479684473384,0.21968368396450727,0.09676926532053173,0.8431327309764176,0.8806353831513595,0.8118832142830006,0.41866869047370864,0.10713313964479557,0.18933954774156533,0.5977174000351322,0.08760201195885521,0.4488856238402922,0.06905601303589436,0.07374805938712559,0.12246775808503595,0.15234257541060156,0.09240387020903358,0.8125946657723001,0.12031997840191509,0.43823050456480844,0.4833709556502913,0.23007835356369427,0.10716002491010344,0.05485650689509882,0.10837299200897192,3.3720644113119644,2.208625175945435,3.9361228295595136,2.475106414172179,,,
FeatureWeightCosts,Dutch,293,0.935677759787534,0.9819159221423662,0.21889176568025048,0.09724966058686808,0.8440190685312887,0.8772034175419562,0.8089531287027749,0.41213933971447725,0.10598448667199792,0.1814730857691949,0.6054257127571172,0.08939882608988421,0.43740104953505315,0.06934611998778875,0.07329175632158795,0.12241459447842244,0.16155472738929674,0.09415301342508657,0.8028978162087417,0.1185353704508998,0.44819291765270863,0.48751444383852993,0.24037597379057282,0.10665910943728786,0.05478919710846383,0.10827684459686918,3.389128844398234,2.1938968799832836,3.9123360912363334,2.5136555240511522,,,
FeatureWeightCosts,Gawwada,120,0.90125,0.9645486111111111,0.21824424428882785,0.09678888107315964,0.8495527390716413,0.8709433138840597,0.8112334491427632,0.4124737015301316,0.10464262031789623,0.18483049542766278,0.5951322663842277,0.08709884164568742,0.45255181788233706,0.06889337693252595,0.07362678082143885,0.12043515126716618,0.16958039196943273,0.09289433942678596,0.8117188661758432,0.11548502506172964,0.41955277553164644,0.504779886250415,0.23405894324295706,0.10681903990287905,0.05613656611686951,0.10755961201390303,3.358818966397465,2.2398698162059563,3.9342308454638655,2.496473956944117,,,
