level,seg,segment_class,n_languages,pct_languages,pct_l1_weighted,pct_total_weighted,l1_with,total_with,top_allophones,merged_strict_variants,n_wold_recipients,in_wold
lumped,ɣ,consonant,309,0.14194,0.09481,0.15049,583480297,1556257525,ɡ(12) ɣʷ(8) x(6) ɰ(6) ɣʲ(5) j(4) ʝ(3) ʁ(3),ɣː ɣ̩,3,True
lumped,ð,consonant,127,0.05834,0.09254,0.24108,569515801,2493107403,d(7) dð(1) ðʲ(1) θ͉(1) ʐ(1) θ(1) v(1) ð̥(1),ðː ð̞ ð̪ ð̪̺ ð̺̞,2,True
lumped,r̤,consonant,14,0.00643,0.08918,0.10071,548859467,1041517534,ɽ̤(2) ɾ̤(1),ɽ̤ ɽ̤ʱ ɾ̤,0,False
lumped,ʁ,consonant,96,0.0441,0.08788,0.07985,540841629,825743605,ʁ̥(6) ɢ(3) ɣ(3) χ(3) ʀ(2) ʁʲ(2) q(2) ɐ(2),ʁː ʁ̞,1,True
lumped,ã,vowel,42,0.01929,0.08421,0.10191,518293170,1053849953,ɑ̃(19) ɐ̃(4) ɔ̃(1) ə(1) ʌ(1) æ̃(1) ə̃(1) ɑ̃i(1),ɐ̃ ɑ̃ ɑ̃ː,1,True
lumped,ɭ,consonant,284,0.13045,0.08013,0.06638,493140510,686446628,ɭ̥(2) ɭʲ(1) ʲɭ(1) ɭʷ(1),ɭː ɭ̟ ɭ̩ ɭ̺,2,True
lumped,ɟ,consonant,283,0.13,0.07672,0.07652,472189165,791314012,c(7) dʒ(5) ɲɟ(3) ɲ(3) ɟʱ(2) ɟʝ(2) ɟ̥(2) j(2),ɟʰ ɟʱ ɟː ɟ̟ ʱɟ,3,True
lumped,dz,consonant,261,0.11989,0.07384,0.05682,454457611,587617180,dʒ(28) ndz(10) z(6) dzʲ(4) dzʱ(3) ʒ(2) dzʷ(2) t͉s(1),dzʰ dzʱ dzː dz̪ dz̺ dz̻ d̟z̟ d̪z d̪z̪ d̪z̪ː d̺z̺ d̺z̺ː d̻z̻ d̻z̻ː ʱdz,2,True
lumped,œ,vowel,61,0.02802,0.07026,0.08117,432414510,839445352,ʏ(2) ø(1) y(1) œ̃(1) œə(1) ɶ(1) <œ>(1),œː œ̞ œ̞ː œ̠ œ̠ː,2,True
lumped,aʊ,vowel,6,0.00276,0.06785,0.17239,417569340,1782764280,ɑʊ(2) ɐʊ(1),aʊ̯ ɐʊ ɑʊ ɑʊ̯,1,True
lumped,ɟʝ,consonant,81,0.03721,0.06744,0.06834,415036482,706749307,ʝ(2) ɟ(2) cç(2) ɲɟʝ(1) ɟ̊ʝ̊(1),ɟʝː ɟʝ̞,0,False
lumped,aɪ,vowel,8,0.00367,0.06733,0.17142,414387560,1772755404,a(2) ɛ(1) i(1) ɑɪ(1) ɐɪ(1) ɛɪ(1),aɪ̯ aːɪ ɐɪ ɑɪ,1,True
lumped,ɔɪ,vowel,4,0.00184,0.06192,0.16779,381086290,1735123986,,ɔɪ̯,1,True
lumped,ɨ,vowel,398,0.18282,0.05926,0.04274,364690556,442010104,ɨ̃(16) ɪ(9) i(6) u(5) ɨ̥(5) ə(5) ʉ(3) ɯ(3),ɨː ɨˑ ɨ̆ ɨ̞ ɨ̞ː ɨ̠,9,True
lumped,ɟ̤ʝ,consonant,19,0.00873,0.05797,0.06253,356750000,646688108,,,0,False
lumped,ø,vowel,87,0.03996,0.05687,0.07031,350003259,727138266,øə(2) ø̥(2) ø̃(1) ɛ̃(1) ɛ(1) ə(1) œ(1) ʏ(1),øː øˑ ø̆ ø̞ ø̞ː ø̠ ø̠̞,1,True
lumped,q,consonant,187,0.0859,0.05152,0.09327,317105110,964488464,qʰ(31) χ(7) ʁ(6) ɢ(5) qχ(4) x(3) ʰq(2) qʲ(2),qʰ qː q̺ ʰq ʰqʰ,4,True
lumped,ɛ̃,vowel,205,0.09417,0.05105,0.08457,314215209,874583597,ẽ(4) ãʲ(1) ɛ̃i(1),ɛ̃ː ɛ̆̃,0,False
lumped,kʷ,consonant,300,0.1378,0.05093,0.03863,313444096,399461782,kʷʰ(23) ɡʷ(6) k(3) ɣʷ(2) kxʷ(1) ʰkʷ(1) ŋkʷ(1) qʷ(1),kʷʰ kʷʰː kʷː ʰkʷ,6,True
lumped,ə̃,vowel,72,0.03307,0.04973,0.06524,306036673,674630278,ə̥̃(1) ə̃i(1) ŋ(1) ɴ(1),ə̃ː ə̠̃,0,False
lumped,ʌ,vowel,102,0.04685,0.04972,0.03469,305998945,358723188,ɑ(3) ɔ(3) ə(3) ɜ(2) a(2) e(2) ɵ(1) ɘ(1),ʌː ʌ̯,2,True
lumped,ɓ,consonant,241,0.1107,0.04635,0.05275,285243496,545512085,ɓʷ(6) b(5) p(3) ɓ̥(3) ɓʲ(3) bʷ(2) m(2) ɡb(1),ɓː,5,True
lumped,ɗ,consonant,208,0.09554,0.04047,0.04822,249047806,498611261,d(4) ɗʲ(2) ɗʱ(2) t(2) l(2) nɗ(1) ɗʷ(1) ʔʲ(1),ɗʱ ɗː ɗ̠ ɗ̪,5,True
lumped,kʲ,consonant,79,0.03629,0.03791,0.02785,233308361,287989365,kʲʰ(5) kxʲ(2) tʃʲ(1) ŋɡʲ(1) k(1) c(1) tʲ(1),kʲʰ kʲː k̟ʲʰ ʰkʲ,4,True
lumped,ui,vowel,51,0.02343,0.03778,0.02867,232536972,296500291,ʊɨ(1),ui̯ uːĭ u̯i u̽i,0,False
lumped,ħ,consonant,58,0.02664,0.03555,0.05795,218791523,599261484,ħʷ(1) ħ̃(1) x(1),ħː,2,True
lumped,ʕ,consonant,44,0.02021,0.03394,0.02049,208867396,211929680,ɥ(1) ʕˀ(1) ʕ̥(1) ʜ(1),ʕː ʕ̝,2,True
lumped,lʲ,consonant,56,0.02572,0.03332,0.02512,205076845,259759124,l̥ʲ(4) ɮ(1) lʷʲ(1),lʲː lʲˑ l̠ʲ l̪ʲ,1,True
lumped,tʲ,consonant,73,0.03353,0.03241,0.02476,199477666,256092849,tʲʰ(3) tʃʲ(1) cç(1) c(1) tˡʲ(1) tⁿʲ(1) tʷʲ(1) dʲ(1),tʲʰ tʲː tʲˑ t̠ʲ t̪ʲ t̪ʲʰ t̻ʲ ʰtʲ,1,True
lumped,nʲ,consonant,50,0.02297,0.03208,0.02444,197430292,252739037,n̥ʲ(3) n(1),nʲː nʲˑ n̠ʲ n̪ʲ n̻ʲ,1,True
lumped,pʲ,consonant,51,0.02343,0.03208,0.02454,197427480,253742786,pʲʰ(5) pɸʲ(1),pʲʰ pʲː ʰpʲ,2,True
